"ID","Technical Area / Program","Intervention","Impl. Partner","Start Date","End Date","Province","District","Sector","Updated Date"
"84","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Karengera","12/5/2016"
"85","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Kirimbi","12/5/2016"
"86","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Macuba","12/5/2016"
"87","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Mahembe","12/5/2016"
"88","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Nyabitekeri","12/5/2016"
"89","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Rangiro","12/5/2016"
"90","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Ruharambuga","12/5/2016"
"91","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Western Province","Nyamasheke","Shangi","12/5/2016"
"92","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"93","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"94","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"95","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"96","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"97","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"98","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Bungwe","11/24/2016"
"99","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Butaro","11/24/2016"
"100","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Gatebe","11/24/2016"
"101","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Gitovu","11/24/2016"
"102","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kagogo","11/24/2016"
"103","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kagogo","11/24/2016"
"104","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kagogo","11/24/2016"
"105","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kagogo","11/24/2016"
"106","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kivuye","11/24/2016"
"107","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Kivuye","11/24/2016"
"108","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rugarama","11/24/2016"
"109","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rugarama","11/24/2016"
"110","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rugarama","11/24/2016"
"111","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rugarama","11/24/2016"
"112","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rugengabari","11/24/2016"
"113","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Ruhunde","11/24/2016"
"114","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Global Communities","N/A","N/A","Northern Province","Burera","Rwerere","11/24/2016"
"115","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Bukure","12/5/2016"
"116","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Bwisige","12/5/2016"
"117","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Byumba","12/5/2016"
"118","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Cyumba","12/5/2016"
"119","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Giti","12/5/2016"
"120","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Kageyo","12/5/2016"
"121","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Kaniga","12/5/2016"
"122","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Manyagiro","12/5/2016"
"123","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Miyove","12/5/2016"
"124","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Mukarange","12/5/2016"
"125","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Muko","12/5/2016"
"126","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Mutete","12/5/2016"
"127","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Nyamiyaga","12/5/2016"
"128","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Nyankenke","12/5/2016"
"129","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Rubaya","12/5/2016"
"130","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Rukomo","12/5/2016"
"131","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Rushaki","12/5/2016"
"132","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Rutare","12/5/2016"
"133","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Ruvune","12/5/2016"
"134","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Rwamiko","12/5/2016"
"135","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Northern Province","Gicumbi","Shangasha","12/5/2016"
"136","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Gishali","12/2/2016"
"137","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Kigabiro","12/2/2016"
"138","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Muhazi","12/2/2016"
"139","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyaga","12/2/2016"
"140","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Harvard School of Public Health","N/A","N/A","Eastern Province","Rwamagana","Munyaga","12/2/2016"
"141","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Munyiginya","12/2/2016"
"142","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Rwamagana","Mwulire","12/2/2016"
"143","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Harvard School of Public Health","N/A","N/A","Eastern Province","Rwamagana","Rubona","12/2/2016"
"144","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Gasange","12/1/2016"
"145","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Gatsibo","12/4/2016"
"146","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kiramuruzi","12/1/2016"
"147","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Kiziguro","12/1/2016"
"148","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Murambi","12/1/2016"
"149","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Ngarama","12/4/2016"
"150","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Caritas/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Nyagihanga","12/4/2016"
"151","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Remera","12/1/2016"
"152","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Gatsibo","Rugarama","12/1/2016"
"153","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Kabarondo","12/5/2016"
"154","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Mukarange","12/5/2016"
"155","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Murama","12/5/2016"
"156","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Murundi","12/5/2016"
"157","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Mwiri","12/5/2016"
"158","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Ndego","12/5/2016"
"159","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Nyamirama","12/5/2016"
"160","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Rukara","12/5/2016"
"161","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Ruramira","12/5/2016"
"162","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Kayonza","Rwinkwavu","12/5/2016"
"163","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Gashora","12/1/2016"
"164","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Gashora","12/5/2016"
"165","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Juru","12/1/2016"
"166","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Juru","12/5/2016"
"167","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Kamabuye","12/5/2016"
"168","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Mareba","12/5/2016"
"169","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Mayange","12/5/2016"
"170","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Musenyi","12/5/2016"
"171","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Mwogo","12/5/2016"
"172","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Ngeruka","12/5/2016"
"173","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Ntarama","12/5/2016"
"174","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Nyamata","12/5/2016"
"175","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Nyarugenge","12/5/2016"
"176","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","AEE/Rwanda","N/A","N/A","Eastern Province","Bugesera","Rilima","12/1/2016"
"177","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Rilima","12/5/2016"
"178","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Ruhuha","12/5/2016"
"179","Behavior Change","Behavior Change Communication (IPC, Community Level Dialogues)","Society for Family Health","N/A","N/A","Eastern Province","Bugesera","Rweru","12/5/2016"
