,project,mechanism,shortName,IP,District,OBJECTID,Prov_ID,Province,Dist_ID,id,output_ID,subIR_ID,output,result,partner
11,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyanza,4,2,Southern Province,21,3,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
12,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyanza,4,2,Southern Province,21,3,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
13,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gisagara,5,2,Southern Province,22,4,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
14,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gisagara,5,2,Southern Province,22,4,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
15,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyaruguru,6,2,Southern Province,23,5,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
16,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyaruguru,6,2,Southern Province,23,5,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
17,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Huye,7,2,Southern Province,24,6,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
18,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Huye,7,2,Southern Province,24,6,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
19,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyamagabe,8,2,Southern Province,25,7,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
20,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyamagabe,8,2,Southern Province,25,7,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
21,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ruhango,9,2,Southern Province,26,8,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
22,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ruhango,9,2,Southern Province,26,8,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
23,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Muhanga,10,2,Southern Province,27,9,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
24,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Muhanga,10,2,Southern Province,27,9,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
25,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kamonyi,11,2,Southern Province,28,10,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
26,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kamonyi,11,2,Southern Province,28,10,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
27,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyarugenge,1,1,Kigali City,11,0,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
28,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyarugenge,1,1,Kigali City,11,0,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
29,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gasabo,2,1,Kigali City,12,1,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
30,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gasabo,2,1,Kigali City,12,1,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
31,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kicukiro,3,1,Kigali City,13,2,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
32,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kicukiro,3,1,Kigali City,13,2,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
33,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rwamagana,23,5,Eastern Province,51,22,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
34,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rwamagana,23,5,Eastern Province,51,22,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
35,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyagatare,24,5,Eastern Province,52,23,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
36,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyagatare,24,5,Eastern Province,52,23,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
37,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gatsibo,25,5,Eastern Province,53,24,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
38,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Gatsibo,25,5,Eastern Province,53,24,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
39,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kayonza,26,5,Eastern Province,54,25,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
40,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kayonza,26,5,Eastern Province,54,25,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
41,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kirehe,27,5,Eastern Province,55,26,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
42,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Kirehe,27,5,Eastern Province,55,26,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
43,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ngoma,28,5,Eastern Province,56,27,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
44,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ngoma,28,5,Eastern Province,56,27,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
45,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Bugesera,29,5,Eastern Province,57,28,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
46,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Bugesera,29,5,Eastern Province,57,28,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
47,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Karongi,12,3,Western Province,31,11,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
48,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Karongi,12,3,Western Province,31,11,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
49,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rutsiro,13,3,Western Province,32,12,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
50,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rutsiro,13,3,Western Province,32,12,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
51,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rubavu,14,3,Western Province,33,13,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
52,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rubavu,14,3,Western Province,33,13,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
53,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyabihu,15,3,Western Province,34,14,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
54,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyabihu,15,3,Western Province,34,14,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
55,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ngororero,16,3,Western Province,35,15,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
56,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Ngororero,16,3,Western Province,35,15,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
57,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rusizi,17,3,Western Province,36,16,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
58,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Rusizi,17,3,Western Province,36,16,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
59,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyamasheke,30,3,Western Province,37,29,Output 4.1,CSO/GOR performance (subpurpose 4),"Improved organizational systems, processes, and procedures",Improved performance and engagement by CSOs and GOR entities,HICD
60,CSOs,Human and Institutional Capacity Development (HICD),HICD,Development Alternatives Inc. (DAI),Nyamasheke,30,3,Western Province,37,29,Output 4.3,CSO/GOR performance (subpurpose 4),Improved capacity for and participation in advocacy,Improved performance and engagement by CSOs and GOR entities,HICD
61,FTF Project,Rwanda Dairy Competitiveness Project II (RDCP II),RDCP II,Land O'Lakes Inc.,Gasabo,2,1,Kigali City,12,1,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,RCDP
62,FTF Project,Rwanda Dairy Competitiveness Project II (RDCP II),RDCP II,Land O'Lakes Inc.,Gasabo,2,1,Kigali City,12,1,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,RCDP
63,FTF Project,HarvestPlus,HarvestPlus,CIAT,Gasabo,2,1,Kigali City,12,1,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,CIAT
64,FTF Project,HarvestPlus,HarvestPlus,CIAT,Gasabo,2,1,Kigali City,12,1,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,CIAT
65,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 2.1,vulnerable population protection (subpurpose 2),Increased capacities of families and communities to provide better care for vulnerable individuals,Improved protection of vulnerable populations against adverse circumstances,AEE
66,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 2.2,vulnerable population protection (subpurpose 2),"Improved household and community care and support practices for vulnerable populations, especially children",Improved protection of vulnerable populations against adverse circumstances,AEE
67,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 2.3,vulnerable population protection (subpurpose 2),Increased access to education and social services for vulnerable populations,Improved protection of vulnerable populations against adverse circumstances,AEE
68,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 4.2,CSO/GOR performance (subpurpose 4),"Improved technical capacity in health promotion, care and support of vulnerable populations, and nutrition",Improved performance and engagement by CSOs and GOR entities,AEE
69,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,AEE
70,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 3.2,improved nutrition (subpurpose 3),Improved WASH actions to reduce diarrheal disease,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,AEE
71,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 1.2,improved health practices (subpurpose 1),Increased access to water and sanitation services among target populations,"Increased awareness of, access to, and demand for high-impact health practices",AEE
72,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Nyarugenge,1,1,Kigali City,11,0,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,AEE
73,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 1.3,improved health practices (subpurpose 1),Improved availability of and access to priority health products,"Increased awareness of, access to, and demand for high-impact health practices",SFH
74,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 1.4,improved health practices (subpurpose 1),Increased health-seeking behaviors and demand for priority health products and services,"Increased awareness of, access to, and demand for high-impact health practices",SFH
75,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 1.1,improved health practices (subpurpose 1),Increased access to key health services among target populations,"Increased awareness of, access to, and demand for high-impact health practices",SFH
76,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 4.2,CSO/GOR performance (subpurpose 4),"Improved technical capacity in health promotion, care and support of vulnerable populations, and nutrition",Improved performance and engagement by CSOs and GOR entities,SFH
77,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 3.2,improved nutrition (subpurpose 3),Improved WASH actions to reduce diarrheal disease,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,SFH
78,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,SFH
79,CHAIN Project,Rwanda Social Marketing Program (RSMP),RSMP,Society for Family Health,Kicukiro,3,1,Kigali City,13,2,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,SFH
80,CHAIN Project,Regional Outreach Addressing AIDS Through Development Strategies III (ROADS III) ,ROADS III,Family Health International (FHI 360),Nyarugenge,1,1,Kigali City,11,0,Output 1.1,improved health practices (subpurpose 1),Increased access to key health services among target populations,"Increased awareness of, access to, and demand for high-impact health practices",ROADS III
81,CHAIN Project,Regional Outreach Addressing AIDS Through Development Strategies III (ROADS III) ,ROADS III,Family Health International (FHI 360),Nyarugenge,1,1,Kigali City,11,0,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,ROADS III
82,CHAIN Project,Improved Services for Vulnerable Populations (ISVP),ISVP,Global Communities,Nyarugenge,1,1,Kigali City,11,0,Output 2.1,vulnerable population protection (subpurpose 2),Increased capacities of families and communities to provide better care for vulnerable individuals,Improved protection of vulnerable populations against adverse circumstances,ISVP
83,CHAIN Project,Improved Services for Vulnerable Populations (ISVP),ISVP,Global Communities,Nyarugenge,1,1,Kigali City,11,0,Output 2.2,vulnerable population protection (subpurpose 2),"Improved household and community care and support practices for vulnerable populations, especially children",Improved protection of vulnerable populations against adverse circumstances,ISVP
84,CHAIN Project,Improved Services for Vulnerable Populations (ISVP),ISVP,Global Communities,Nyarugenge,1,1,Kigali City,11,0,Output 2.3,vulnerable population protection (subpurpose 2),Increased access to education and social services for vulnerable populations,Improved protection of vulnerable populations against adverse circumstances,ISVP
85,CHAIN Project,Improved Services for Vulnerable Populations (ISVP),ISVP,Global Communities,Nyarugenge,1,1,Kigali City,11,0,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,ISVP
86,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 1.2,improved health practices (subpurpose 1),Increased access to water and sanitation services among target populations,"Increased awareness of, access to, and demand for high-impact health practices",INWA
87,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 3.2,improved nutrition (subpurpose 3),Improved WASH actions to reduce diarrheal disease,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,INWA
88,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,INWA
89,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 1.3,improved health practices (subpurpose 1),Improved availability of and access to priority health products,"Increased awareness of, access to, and demand for high-impact health practices",INWA
90,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 1.4,improved health practices (subpurpose 1),Increased health-seeking behaviors and demand for priority health products and services,"Increased awareness of, access to, and demand for high-impact health practices",INWA
91,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 2.2,vulnerable population protection (subpurpose 2),"Improved household and community care and support practices for vulnerable populations, especially children",Improved protection of vulnerable populations against adverse circumstances,INWA
92,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 2.1,vulnerable population protection (subpurpose 2),Increased capacities of families and communities to provide better care for vulnerable individuals,Improved protection of vulnerable populations against adverse circumstances,INWA
93,CHAIN Project,Integrated Nutrition and Wash Activity (INWA),INWA,Catholic Relief Services (CRS),Kicukiro,3,1,Kigali City,13,2,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,INWA
94,CHAIN Project,Rwanda Rural Sanitation Activity (RRSA),RRSA,n/a,Kicukiro,3,1,Kigali City,13,2,Output 1.2,improved health practices (subpurpose 1),Increased access to water and sanitation services among target populations,"Increased awareness of, access to, and demand for high-impact health practices",RRSA
95,CHAIN Project,Rwanda Rural Sanitation Activity (RRSA),RRSA,n/a,Kicukiro,3,1,Kigali City,13,2,Output 1.3,improved health practices (subpurpose 1),Improved availability of and access to priority health products,"Increased awareness of, access to, and demand for high-impact health practices",RRSA
96,CHAIN Project,Rwanda Rural Sanitation Activity (RRSA),RRSA,n/a,Kicukiro,3,1,Kigali City,13,2,Output 1.4,improved health practices (subpurpose 1),Increased health-seeking behaviors and demand for priority health products and services,"Increased awareness of, access to, and demand for high-impact health practices",RRSA
97,CHAIN Project,Rwanda Rural Sanitation Activity (RRSA),RRSA,n/a,Kicukiro,3,1,Kigali City,13,2,Output 3.2,improved nutrition (subpurpose 3),Improved WASH actions to reduce diarrheal disease,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,RRSA
98,FTF Project,Rwanda Dairy Competitiveness Project II (RDCP II),RDCP II,Land O'Lakes Inc.,Kicukiro,3,1,Kigali City,13,2,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,RCDP
99,FTF Project,Rwanda Dairy Competitiveness Project II (RDCP II),RDCP II,Land O'Lakes Inc.,Kicukiro,3,1,Kigali City,13,2,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,RCDP
100,FTF Project,HarvestPlus,HarvestPlus,CIAT,Kicukiro,3,1,Kigali City,13,2,Output 3.3,improved nutrition (subpurpose 3),Improved nutrition behaviors,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,CIAT
101,FTF Project,HarvestPlus,HarvestPlus,CIAT,Kicukiro,3,1,Kigali City,13,2,Output 3.1,improved nutrition (subpurpose 3),Increased food security for vulnerable populations,Increase nutrition knowledge and adoption of appropriate nutrition and hygiene practices,CIAT
102,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Gasabo,2,1,Kigali City,12,1,Output 2.1,vulnerable population protection (subpurpose 2),Increased capacities of families and communities to provide better care for vulnerable individuals,Improved protection of vulnerable populations against adverse circumstances,AEE
103,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Gasabo,2,1,Kigali City,12,1,Output 2.2,vulnerable population protection (subpurpose 2),"Improved household and community care and support practices for vulnerable populations, especially children",Improved protection of vulnerable populations against adverse circumstances,AEE
104,CHAIN Project,Ubaka Ejo,AEE,AEE/Rwanda,Gasabo,2,1,Kigali City,12,1,Output 2.3,vulnerable population protection (subpurpose 2),Increased access to education and social services for vulnerable populations,Improved protection of vulnerable populations against adverse circumstances,AEE
